"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_50";"dec_time_50";"freq_A_50";"freq_B_50";"which_won_50"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,2797619047619;5,40178571428571;500;5500;50,1670685627921;1176,51420087266;50,1670685627921;15,0852024349654;1
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,43452380952381;5,4375;500;5500;50,915339144321;1951,51190673979;30,9003437565535;50,915339144321;-1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,49107142857143;5,41369047619048;500;5500;51,4916579721406;1124,328383126;28,3204118846773;51,4916579721406;-1
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,67559523809524;5,63988095238095;500;5500;50,0369856468852;1306,60599873306;28,8804078230344;50,0369856468852;-1
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,5297619047619;5,50892857142857;500;5500;50,1737681485658;1203,61663345098;50,1737681485658;35,7857022824329;1
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,23809523809524;5,7827380952381;500;5500;50,6318678189376;1058,04247810551;32,6773047625768;50,6318678189376;-1
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,50297619047619;5,60416666666667;500;5500;51,5394709895288;1628,06594737622;41,3767584000442;51,5394709895288;-1
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,50595238095238;5,58333333333333;500;5500;51,7380583804173;920,114388127337;32,5624143652976;51,7380583804173;-1
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,51488095238095;5,5;500;5500;50,0602805849546;911,525672674476;21,9218222169409;50,0602805849546;-1
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,54166666666667;5,26488095238095;500;5500;50,2778478824139;1671,64920381432;50,2778478824139;30,3093409220226;1
"11";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,52678571428571;5,64285714285714;500;5500;51,0794761679366;1208,99921642467;44,1768442533506;51,0794761679366;-1
"12";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,44642857142857;5,36309523809524;500;5500;50,7631072718524;1072,97904383877;50,7631072718524;29,4075931781766;1
"13";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,5;5,56845238095238;500;5500;50,1908839466101;972,676959187076;50,1908839466101;33,9318652033421;1
"14";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,51190476190476;5,61011904761905;500;5500;50,363604019457;1214,75835564437;50,363604019457;32,3229100423381;1
"15";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,61309523809524;5,30357142857143;500;5500;50,8077457292172;1140,20334608074;32,8133357834528;50,8077457292172;-1
"16";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,52083333333333;5,14285714285714;500;5500;50,6422211741365;922,708293339556;22,4321248153893;50,6422211741365;-1
"17";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,47321428571429;5,44047619047619;500;5500;50,0414357624385;2727,42229723831;29,951808266569;50,0414357624385;-1
"18";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,6577380952381;5,61607142857143;500;5500;50,1083365610223;1000,99097731542;28,370161141167;50,1083365610223;-1
"19";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,51785714285714;5,49702380952381;500;5500;50,1582185154961;837,95751931798;28,060541826851;50,1582185154961;-1
"20";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,35119047619048;5,51488095238095;500;5500;50,1229400275587;1119,98027198302;22,4326444878585;50,1229400275587;-1
"21";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,7202380952381;5,46428571428571;500;5500;50,9049862978944;866,785050009679;24,4206353185845;50,9049862978944;-1
"22";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,48511904761905;5,4375;500;5500;50,5511697079023;1392,61775034734;30,479381735647;50,5511697079023;-1
"23";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,36309523809524;5,50595238095238;500;5500;50,1530110524622;815,470481210888;30,1619507028794;50,1530110524622;-1
"24";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,3452380952381;5,58333333333333;500;5500;50,1291071531387;1009,37515954848;50,1291071531387;42,4704935602981;1
"25";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,37797619047619;5,6577380952381;500;5500;50,0506734887004;1173,3449126455;20,093336072106;50,0506734887004;-1
"26";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,74702380952381;5,26785714285714;500;5500;50,0232610269046;1106,29918157683;50,0232610269046;31,0858836381479;1
"27";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,52083333333333;5,44940476190476;500;5500;50,4433522068505;754,080058319199;13,4989252384529;50,4433522068505;-1
"28";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,63988095238095;5,54464285714286;500;5500;50,8570448487017;1157,78267019317;28,0958499513807;50,8570448487017;-1
"29";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,58035714285714;5,52380952380952;500;5500;50,8553193615926;1202,50446985522;50,8553193615926;34,7391970286935;1
"30";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,53571428571429;5,33035714285714;500;5500;50,0500000000002;1404,6682371316;50,0500000000002;20,3000000000001;1
"31";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,50297619047619;5,62202380952381;500;5500;51,4690177021465;1078,10654316756;21,5295237446887;51,4690177021465;-1
"32";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;9;11,01;4,47321428571429;5,4375;500;5500;50,3822262564993;965,229541690123;50,3822262564993;32,9026783715914;1
