"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_50";"dec_time_50";"freq_A_50";"freq_B_50";"which_won_50"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;4,87797619047619;6,19940476190476;500;5500;50,3621315224203;979,988865282663;31,4763322015127;50,3621315224203;-1
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;5,23511904761905;5,9077380952381;500;5500;50,3297849117167;1227,68292384641;21,2275283301118;50,3297849117167;-1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;5,01785714285714;5,97619047619048;500;5500;50,9801168463419;884,121023590932;50,9801168463419;22,416788967895;1
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;4,91666666666667;6,20535714285714;500;5500;52,7806096915583;876,680504005957;25,686563383225;52,7806096915583;-1
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;5,17261904761905;6,13988095238095;500;5500;50,7503932273525;838,398382159813;33,8335954849016;50,7503932273525;-1
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;4,8452380952381;6,03869047619048;500;5500;50,9998748693643;1315,21763728416;50,9998748693643;38,2499061520232;1
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;4,96428571428571;6,21130952380952;500;5500;51,0097307401989;1025,3435731299;51,0097307401989;25,5048653700995;1
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;4,94642857142857;6,24404761904762;500;5500;51,8501448192843;1051,1276570623;33,5930515730574;51,8501448192843;-1
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;4,83035714285714;5,89880952380952;500;5500;51,0972917094415;945,955384268592;37,6132841750056;51,0972917094415;-1
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;4,93452380952381;6,10416666666667;500;5500;51,4049289461863;866,037678165589;37,9156922723644;51,4049289461863;-1
"11";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;4,92559523809524;6,36011904761905;500;5500;50,0745603832905;1157,40101982461;35,0862565950947;50,0745603832905;-1
"12";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;5,11309523809524;5,87797619047619;500;5500;50,4973736826263;1845,92945692324;32,8578801359554;50,4973736826263;-1
"13";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;4,96428571428571;6,11309523809524;500;5500;51,0890486742286;1035,4038777734;32,7936461084576;51,0890486742286;-1
"14";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;5,2797619047619;6,06547619047619;500;5500;50,2651840001849;2824,70112824565;50,2651840001849;25,6253879216629;1
"15";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;4,94940476190476;6,21130952380952;500;5500;50,2726326864089;1045,88149957703;37,7044745148067;50,2726326864089;-1
"16";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;5,05952380952381;6,06547619047619;500;5500;50,5996167613291;977,961770784754;27,6611238295266;50,5996167613291;-1
"17";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;4,90178571428571;6,01488095238095;500;5500;50,4000000000002;1101,68737918196;26,9500000000001;50,4000000000002;-1
"18";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;5,08630952380952;6,22619047619048;500;5500;50,072432107641;1259,73719219371;33,6200615579875;50,072432107641;-1
"19";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;10;12,27;5,06547619047619;6,0297619047619;500;5500;50,9148992610908;1591,57827203112;26,9549466676363;50,9148992610908;-1
