"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_50";"dec_time_50";"freq_A_50";"freq_B_50";"which_won_50"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,05952380952381;2,51190476190476;500;5500;50,7961263278536;2678,10150833229;50,7961263278536;6,43417600152812;1
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,93154761904762;2,41369047619048;500;5500;50,586377910185;1409,34958669327;7,72847440294493;50,586377910185;-1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,04464285714286;2,33333333333333;500;5500;50,487021285883;1827,73835521272;50,487021285883;6,18208423908771;1
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,84821428571429;2,47619047619048;500;5500;50,1465895863919;1386,35686922661;9,76007448325749;50,1465895863919;-1
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,92559523809524;2,51785714285714;500;5500;52,2592880847875;1318,37667130894;4,72019376249693;52,2592880847875;-1
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,08333333333333;2,41071428571429;500;5500;50,029728735116;956,338340276975;50,029728735116;5,48270999836888;1
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,9375;2,4672619047619;500;5500;50,9851667101149;1089,97137837796;9,80483975194518;50,9851667101149;-1
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,86607142857143;2,5297619047619;500;5500;50,2578132439787;1116,75283139293;50,2578132439787;7,03609385415702;1
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,9672619047619;2,50892857142857;500;5500;50,3931321978387;1291,67521576433;9,81684393464391;50,3931321978387;-1
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,9077380952381;2,52678571428571;500;5500;51,8666736009842;1776,67352657213;7,60711212814435;51,8666736009842;-1
"11";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,9702380952381;2,375;500;5500;50,0464048115717;1722,6652493781;50,0464048115717;4,64006402226493;1
"12";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,08928571428571;2,50595238095238;500;5500;50,612655937808;1592,45340590678;9,78511348130954;50,612655937808;-1
"13";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,06845238095238;2,66964285714286;500;5500;51,7296042885841;895,097452250673;10,5501166641191;51,7296042885841;-1
"14";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,92261904761905;2,61309523809524;500;5500;50,2224583479162;1049,4125537137;6,19180993330474;50,2224583479162;-1
"15";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,98809523809524;2,54761904761905;500;5500;50,5404476012247;927,190649987865;8,369755653706;50,5404476012247;-1
"16";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2;2,55952380952381;500;5500;50,2731240296446;1612,89400045753;2,28514200134748;50,2731240296446;-1
"17";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,94940476190476;2,46428571428571;500;5500;50,9069744173252;708,695808519848;11,8550488369113;50,9069744173252;-1
"18";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,08928571428571;2,52380952380952;500;5500;50,1755311197195;1810,69497585213;50,1755311197195;19,6633838171874;1
"19";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,89285714285714;2,4702380952381;500;5500;50,3551739084617;1227,34651293964;50,3551739084617;8,90635728993199;1
"20";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2;2,4672619047619;500;5500;50,7026352094236;1292,28957733871;4,54575350153453;50,7026352094236;-1
"21";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,01190476190476;2,57440476190476;500;5500;50,314315439617;1438,54954847738;6,98809936661347;50,314315439617;-1
"22";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,91964285714286;2,66666666666667;500;5500;50,564584155395;1958,03287673559;16,3993245909389;50,564584155395;-1
"23";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,0952380952381;2,51190476190476;500;5500;51,6737219599645;822,74207335659;8,55525198012658;51,6737219599645;-1
"24";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,10119047619048;2,49404761904762;500;5500;51,1002251723666;972,886962503377;51,1002251723666;10,0196519945817;1
"25";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,0952380952381;2,3125;500;5500;51,0160135532491;1491,3395774458;9,6256629345753;51,0160135532491;-1
"26";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,07440476190476;2,44940476190476;500;5500;52,107846881966;1584,91992730528;1,70287081313614;52,107846881966;-1
"27";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,03571428571429;2,48214285714286;500;5500;51,1025867965706;1714,67064802121;51,1025867965706;6,17346686133067;1
"28";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,90178571428571;2,60119047619048;500;5500;50,554113491653;1012,28056747472;4,13335519114144;50,554113491653;-1
"29";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,14285714285714;2,48214285714286;500;5500;50,7004936196362;1612,54105426462;50,7004936196362;10,2684544039769;1
"30";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,94940476190476;2,55059523809524;500;5500;50,5522762287756;1791,85306068001;50,5522762287756;11,5916047403562;1
"31";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,96428571428571;2,44642857142857;500;5500;50,2400855490598;1016,64439430633;9,26412925018125;50,2400855490598;-1
"32";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,99702380952381;2,36904761904762;500;5500;50,0660803559617;1757,88421604333;2,3840990645696;50,0660803559617;-1
"33";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,92261904761905;2,49107142857143;500;5500;50,9873848363499;1406,832965608;4,22188536861496;50,9873848363499;-1
"34";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,92261904761905;2,67857142857143;500;5500;51,4851652012446;1255,83998096477;7,79051841860937;51,4851652012446;-1
"35";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,99702380952381;2,49404761904762;500;5500;50,4153948849956;1682,6349449946;50,4153948849956;6,81289120067509;1
"36";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,01190476190476;2,41964285714286;500;5500;50,8945617220025;1250,71673936103;5,96694861568306;50,8945617220025;-1
"37";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,92857142857143;2,4672619047619;500;5500;50,0346956046361;1387,74916187787;13,0372094181094;50,0346956046361;-1
"38";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,96130952380952;2,41964285714286;500;5500;50,4597561239584;1703,31729500929;10,7879478609842;50,4597561239584;-1
"39";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,91369047619048;2,58630952380952;500;5500;50,6151493907403;1178,07343712887;50,6151493907403;11,6524084928323;1
"40";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,07738095238095;2,5327380952381;500;5500;50,7940937883502;1382,06725840337;6,61019028752503;50,7940937883502;-1
"41";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,94642857142857;2,4672619047619;500;5500;51,0500681242663;968,013408686739;10,2100136248533;51,0500681242663;-1
"42";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,96428571428571;2,4047619047619;500;5500;50,328767178776;1175,3289660945;50,328767178776;12,2421325569996;1
"43";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,99107142857143;2,41666666666667;500;5500;50,0641734543556;2059,0475390277;50,0641734543556;13,5935835207191;1
"44";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,11904761904762;2,56547619047619;500;5500;50,5028110234769;1422,11969096549;5,57498563246174;50,5028110234769;-1
"45";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,20833333333333;2,51190476190476;500;5500;50,2128924092714;1518,78620308285;4,81493488856027;50,2128924092714;-1
"46";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,96428571428571;2,51488095238095;500;5500;52,319059443182;976,607705803755;17,5591363884652;52,319059443182;-1
"47";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,93154761904762;2,32142857142857;500;5500;50,5928202342474;778,511141848995;7,67615203554098;50,5928202342474;-1
"48";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,93154761904762;2,52678571428571;500;5500;50,4842924082151;874,151381143108;50,4842924082151;10,7413388102585;1
"49";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,11904761904762;2,48511904761905;500;5500;50,4644332483707;1411,27711326707;20,4680918070315;50,4644332483707;-1
"50";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,07738095238095;2,5;500;5500;50,0124745284038;1477,08856608375;4,66783095598435;50,0124745284038;-1
"51";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,01785714285714;2,25297619047619;500;5500;51,7057120968136;3012,59118311088;51,7057120968136;9,24539222923157;1
"52";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,1577380952381;2,45535714285714;500;5500;50,332828165147;1399,7657294933;5,90109019867241;50,332828165147;-1
"53";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,88988095238095;2,60714285714286;500;5500;50,7788371589912;1261,36036676681;3,96146956559506;50,7788371589912;-1
"54";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,16666666666667;2,32142857142857;500;5500;50,4365777622559;833,402706525384;12,9409640311051;50,4365777622559;-1
"55";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,93452380952381;2,42559523809524;500;5500;50,2592334785455;1249,33928402813;14,5043425474997;50,2592334785455;-1
"56";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,10714285714286;2,4375;500;5500;51,9989907201412;1465,59482438581;51,9989907201412;26,3461552982049;1
"57";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,94047619047619;2,63690476190476;500;5500;50,1807070866338;1562,72158797033;6,06209884268059;50,1807070866338;-1
"58";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,98511904761905;2,49702380952381;500;5500;50,3947645996318;1396,52756848393;6,81010332427456;50,3947645996318;-1
"59";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,04166666666667;2,44940476190476;500;5500;51,9215293671618;776,624348490132;5,69461934994678;51,9215293671618;-1
"60";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,90178571428571;2,50595238095238;500;5500;51,8424231252329;1238,08309684489;5,54290058571673;51,8424231252329;-1
"61";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,10416666666667;2,66071428571429;500;5500;50,0998961452617;866,656812587593;12,0239750748628;50,0998961452617;-1
"62";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,20238095238095;2,67559523809524;500;5500;51,100384173456;1276,44984167503;51,100384173456;8,23093436350968;1
"63";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,9702380952381;2,4702380952381;500;5500;51,7916454973277;1007,39794913931;11,3941620094121;51,7916454973277;-1
"64";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,95833333333333;2,58035714285714;500;5500;50,5907595671916;1323,22084530153;3,96790271115228;50,5907595671916;-1
"65";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,05059523809524;2,44642857142857;500;5500;50,1216951212566;1075,53306640982;50,1216951212566;12,5304237803142;1
"66";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,01190476190476;2,57440476190476;500;5500;50,7312812416771;1607,81581857388;50,7312812416771;3,44471662752128;1
"67";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,19047619047619;2,41369047619048;500;5500;50,8589209920328;1309,35516671018;9,24707654400597;50,8589209920328;-1
"68";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,97916666666667;2,5297619047619;500;5500;50,2199329255128;1293,2400941748;4,56544844777389;50,2199329255128;-1
"69";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,11011904761905;2,49404761904762;500;5500;50,3013387059735;1157,24669831915;12,8507069686794;50,3013387059735;-1
"70";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,95833333333333;2,5;500;5500;50,7730063988802;1019,27811829234;4,64589601035505;50,7730063988802;-1
"71";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,13392857142857;2,50595238095238;500;5500;50,7253134985623;1606,91951023506;7,85424209009997;50,7253134985623;-1
"72";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,00892857142857;2,49702380952381;500;5500;50,3435800618155;960,694698095556;7,29113918136639;50,3435800618155;-1
"73";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;1,80059523809524;2,5327380952381;500;5500;51,4556519809026;1111,03308047985;5,51310556938243;51,4556519809026;-1
"74";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,98;2,08928571428571;2,41369047619048;500;5500;51,1204926612376;974,91130273624;6,56276594975348;51,1204926612376;-1
