"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_50";"dec_time_50";"freq_A_50";"freq_B_50";"which_won_50"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,98511904761905;3,47619047619048;500;5500;52,502617675394;972,377829569703;25,2668847562834;52,502617675394;-1
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,90178571428571;3,61011904761905;500;5500;50,7292817385348;869,490357259924;10,2139493433292;50,7292817385348;-1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,95833333333333;3,54464285714286;500;5500;50,2895055499571;761,771280713767;10,5336126489775;50,2895055499571;-1
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,97916666666667;3,55059523809524;500;5500;50,4078546551621;973,156032748915;9,25858554890733;50,4078546551621;-1
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,97321428571429;3,60714285714286;500;5500;50,3983364104557;869,230236553003;14,3495263390881;50,3983364104557;-1
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,90178571428571;3,60714285714286;500;5500;50,0984214558733;1558,96863791094;50,0984214558733;10,3536737675472;1
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,86607142857143;3,45833333333333;500;5500;50,4507670202224;1028,19691900624;9,41747651044152;50,4507670202224;-1
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,97321428571429;3,58035714285714;500;5500;50,2766144908859;875,467834561583;11,2460848203297;50,2766144908859;-1
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,94940476190476;3,57440476190476;500;5500;50,5613714857965;1252,76314532936;24,7427988121983;50,5613714857965;-1
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,91964285714286;3,61011904761905;500;5500;50,0706818108706;2015,91683664138;10,7047664561172;50,0706818108706;-1
"11";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,95238095238095;3,63392857142857;500;5500;51,5401927534564;1194,73428708644;51,5401927534564;10,0990918233124;1
"12";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,86011904761905;3,75892857142857;500;5500;50,5559780246;1303,84998939024;17,4330958705517;50,5559780246;-1
"13";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;3,1577380952381;3,60416666666667;500;5500;50,4147894913878;989,109999619798;17,2653388669136;50,4147894913878;-1
"14";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,9702380952381;3,44047619047619;500;5500;50,9679421352723;1123,85250375289;50,9679421352723;20,1098002982707;1
"15";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;3,08928571428571;3,66666666666667;500;5500;50,0284566044403;1036,38128587756;13,0355837631288;50,0284566044403;-1
"16";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;3,12797619047619;3,63988095238095;500;5500;50,4655797108836;1138,44327683484;50,4655797108836;15,9926132886603;1
"17";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,89880952380952;3,53869047619048;500;5500;50,1901195114074;1316,66655337396;50,1901195114074;24,9195698273421;1
"18";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,97321428571429;3,64285714285714;500;5500;50,5200640219399;989,459043435758;11,6584763127554;50,5200640219399;-1
"19";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;3,00595238095238;3,42559523809524;500;5500;51,1685233981366;1484,96942984613;51,1685233981366;8,25298764486075;1
"20";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,81845238095238;3,68452380952381;500;5500;50,1795068966006;1035,25205227765;15,2572825023448;50,1795068966006;-1
"21";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;3,08630952380952;3,73809523809524;500;5500;50,1342250960691;1222,08688391553;18,5928252011912;50,1342250960691;-1
"22";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;3,11011904761905;3,88095238095238;500;5500;50,882394158926;1185,93646607019;16,6074480935383;50,882394158926;-1
"23";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;2,86011904761905;3,51190476190476;500;5500;51,7753300009197;806,490139602018;11,4670193961768;51,7753300009197;-1
"24";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;3,02380952380952;3,79166666666667;500;5500;50,3673772300394;959,86578973542;50,3673772300394;16,6733386692544;1
"25";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;6;7,29;3,00892857142857;3,60714285714286;500;5500;50,4148360288406;1083,46571581445;8,40247267147343;50,4148360288406;-1
