"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_40";"dec_time_40";"freq_A_40";"freq_B_40";"which_won_40"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,47321428571429;2,02380952380952;500;5500;43,0682730861368;1017,32804322848;7,86166889667576;43,0682730861368;-1
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,41369047619048;2,03571428571429;500;5500;41,64663121904;1080,2346195896;8,06063830045935;41,64663121904;-1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,50892857142857;1,89583333333333;500;5500;40,8299509649704;1174,00051964846;12,0714637635565;40,8299509649704;-1
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,52678571428571;1,98809523809524;500;5500;41,2717316814482;1184,94298460325;11,6936573097437;41,2717316814482;-1
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,44940476190476;1,99404761904762;500;5500;40,1706308705192;875,321342594165;3,37568326643018;40,1706308705192;-1
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,45833333333333;1,91666666666667;500;5500;40,1431929311307;1161,01457644488;2,84199595972607;40,1431929311307;-1
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,54761904761905;1,95833333333333;500;5500;41,1691544114251;1356,11927728536;12,3183296664107;41,1691544114251;-1
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,61607142857143;1,98511904761905;500;5500;40,3689872791344;1295,75771897322;2,97804004518205;40,3689872791344;-1
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,56845238095238;1,82440476190476;500;5500;41,0241976828685;1672,23684560172;41,0241976828685;7,86297122254979;1
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,58630952380952;1,9375;500;5500;40,1933805760866;1083,15921259486;40,1933805760866;6,47181551648852;1
"11";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,52380952380952;1,91666666666667;500;5500;41,2769719709318;2684,50541216856;8,04551148585958;41,2769719709318;-1
"12";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,40178571428571;2,00595238095238;500;5500;40,2620957009987;883,072795327301;6,76403207776778;40,2620957009987;-1
"13";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,63988095238095;1,89880952380952;500;5500;40,8541938661888;1030,14269788785;40,8541938661888;16,2693692387478;1
"14";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,4672619047619;1,97321428571429;500;5500;40,8702626922038;951,799888957518;40,8702626922038;9,35167027702967;1
"15";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,36904761904762;1,83035714285714;500;5500;41,6630854856835;971,505810197215;6,61318817233072;41,6630854856835;-1
"16";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,52380952380952;2,01190476190476;500;5500;40,9813638961485;896,263810046424;40,9813638961485;6,09640124074936;1
"17";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,44940476190476;1,97916666666667;500;5500;40,5014726045202;760,501027395543;7,69862702399971;40,5014726045202;-1
"18";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,67559523809524;2,09821428571429;500;5500;40,5426916306549;1202,14172125814;3,68569923915044;40,5426916306549;-1
"19";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,52678571428571;1,9375;500;5500;40,4361100095455;3767,53629758449;9,77205991897351;40,4361100095455;-1
"20";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,37797619047619;1,96428571428571;500;5500;40,8102450370974;1106,18513448973;8,72013782843961;40,8102450370974;-1
"21";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,49107142857143;1,83035714285714;500;5500;41,4422179390676;1066,96261933826;41,4422179390676;4,71700041582883;1
"22";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,49107142857143;1,88988095238095;500;5500;40,0704924546931;1273,58558964263;18,6995631455235;40,0704924546931;-1
"23";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,51488095238095;1,98809523809524;500;5500;40,3592434822912;867,383116104477;7,48598871042498;40,3592434822912;-1
"24";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,49702380952381;2,05952380952381;500;5500;42,3440633846569;1139,8871322325;42,3440633846569;9,2627638653937;1
"25";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,47619047619048;1,9375;500;5500;41,2993380518874;1664,04654695238;12,3898014155662;41,2993380518874;-1
"26";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,51488095238095;1,92857142857143;500;5500;40,6477432157395;1002,44598334168;6,43589267582542;40,6477432157395;-1
"27";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,44940476190476;1,75892857142857;500;5500;40,2743858332266;1255,48411434069;6,88451039884216;40,2743858332266;-1
"28";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,46428571428571;1,94047619047619;500;5500;41,2259445787905;1021,62191991075;7,52537083581096;41,2259445787905;-1
"29";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,48214285714286;1,87797619047619;500;5500;40,057144730951;841,908381659926;13,6861911164083;40,057144730951;-1
"30";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,41964285714286;2,0327380952381;500;5500;40,1179388272121;876,581296032925;8,22932078506914;40,1179388272121;-1
"31";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,50297619047619;2,19940476190476;500;5500;40,0779324844008;1196,87465936684;4,4153654431967;40,0779324844008;-1
"32";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,54761904761905;1,87202380952381;500;5500;40,4853268499505;909,016090411236;8,16236428426422;40,4853268499505;-1
"33";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,45238095238095;1,82142857142857;500;5500;40,4440085423247;1001,97909822735;40,4440085423247;6,40363468586808;1
"34";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,46428571428571;2;500;5500;40,2888726319919;1106,28612593779;8,53577809999829;40,2888726319919;-1
"35";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,48214285714286;1,97916666666667;500;5500;40,4685432038246;1478,46853413551;8,95615300412512;40,4685432038246;-1
"36";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,5297619047619;1,85119047619048;500;5500;41,101238086295;1129,71439190351;41,101238086295;11,9878611085027;1
"37";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,58035714285714;1,9702380952381;500;5500;40,2522423050359;1263,74869593971;8,38588381354915;40,2522423050359;-1
"38";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,60714285714286;1,96428571428571;500;5500;40,0804389584604;1440,27077988412;11,7883643995472;40,0804389584604;-1
"39";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,42261904761905;1,80952380952381;500;5500;40,0065960616126;1074,17677108883;7,73236730602596;40,0065960616126;-1
"40";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,48214285714286;1,92857142857143;500;5500;40,1937678715402;1107,81454664296;10,4706454119138;40,1937678715402;-1
"41";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,5327380952381;1,96428571428571;500;5500;40,3862877733185;916,397636062661;7,81670085935196;40,3862877733185;-1
"42";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,5625;1,89285714285714;500;5500;40,8884363714012;841,222401979931;7,68842393308398;40,8884363714012;-1
"43";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,35714285714286;1,75;500;5500;40,664681810217;1054,82269678918;13,554893936739;40,664681810217;-1
"44";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,55952380952381;1,92857142857143;500;5500;41,107109581843;1023,25679759792;4,75619449707274;41,107109581843;-1
"45";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,57738095238095;1,95238095238095;500;5500;40,8624436073689;870,235118451053;8,6375897056227;40,8624436073689;-1
"46";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,56547619047619;1,9047619047619;500;5500;40,7940824447066;748,605421608121;4,60578350182171;40,7940824447066;-1
"47";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,39880952380952;1,99404761904762;500;5500;41,1454481439427;723,853370364068;8,43144429179154;41,1454481439427;-1
"48";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,4672619047619;1,99107142857143;500;5500;40,8835297107527;1216,20452893073;40,8835297107527;12,0873044362225;1
"49";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,55357142857143;1,91369047619048;500;5500;40,4180962971699;1231,19034287484;8,83084456912955;40,4180962971699;-1
"50";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,51488095238095;1,86011904761905;500;5500;41,5620010267581;1084,95667756379;9,12336607904446;41,5620010267581;-1
"51";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,52083333333333;2,10416666666667;500;5500;40,813008301929;825,999024604336;8,99269674449284;40,813008301929;-1
"52";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,57440476190476;1,94940476190476;500;5500;41,0721505396505;1042,09324452177;41,0721505396505;9,04979588161791;1
"53";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,64285714285714;2,07440476190476;500;5500;41,2201190001563;906,890561375747;9,61802776670313;41,2201190001563;-1
"54";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,50595238095238;1,97916666666667;500;5500;41,2840352029416;1170,05396294681;41,2840352029416;20,4714224146818;1
"55";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,60416666666667;1,85714285714286;500;5500;42,0948843528623;1241,60353753697;42,0948843528623;16,2168816769224;1
"56";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,47321428571429;1,93154761904762;500;5500;44,1786769494796;514,960982516182;44,1786769494796;4,48689687768152;1
"57";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,38988095238095;1,98809523809524;500;5500;40,0079053342361;956,850319579809;9,0774238993645;40,0079053342361;-1
"58";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,63690476190476;2,1577380952381;500;5500;42,2088281929719;765,828001437908;8,37199898042418;42,2088281929719;-1
"59";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,52083333333333;1,84821428571429;500;5500;40,8809726537548;870,526477084789;40,8809726537548;5,40574845008328;1
"60";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,55952380952381;1,93154761904762;500;5500;40,852606109733;1935,8131026594;7,27037905342706;40,852606109733;-1
"61";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,55059523809524;1,87797619047619;500;5500;41,2342528646945;842,685058121026;8,81073779160138;41,2342528646945;-1
"62";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,50892857142857;1,8125;500;5500;40,5793969759671;1298,01817373246;40,5793969759671;18,3489447195677;1
"63";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,50297619047619;1,82440476190476;500;5500;42,6748126301086;1255,43388878723;42,6748126301086;6,77377978255693;1
"64";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,61309523809524;1,93154761904762;500;5500;40,4679542525228;793,814301433209;40,4679542525228;7,95523887015406;1
"65";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;3;3,9;1,53571428571429;1,8125;500;5500;40,4495867577344;2069,58126641739;9,33452002101563;40,4495867577344;-1
