"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_30";"dec_time_30";"freq_A_30";"freq_B_30";"which_won_30";"bound_40";"dec_time_40";"freq_A_40";"freq_B_40";"which_won_40";"bound_50";"dec_time_50";"freq_A_50";"freq_B_50";"which_won_50"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;8;11,6373363938183;4,08035714285714;5,57738095238095;500;5500;30,7598874633973;702,708627932592;27,4523726823868;30,7598874633973;-1;41,2560911329662;819,508067655256;24,2081195904182;41,2560911329662;-1;50,585914797713;1013,1168275222;22,3275761865768;50,585914797713;-1
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;8;14,8012448847294;3,93154761904762;7,25595238095238;500;5500;32,2886766183929;642,751261366446;18,6408854704124;32,2886766183929;-1;40,0178661493736;680,994689525206;20,5309052418526;40,0178661493736;-1;50,7192361856435;788,954504258948;17,1259758548926;50,7192361856435;-1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;8;11,8738183435053;3,81547619047619;6,00297619047619;500;5500;31,4756084746591;733,775499018799;18,7514263253288;31,4756084746591;-1;40,164385573551;811,470809510396;26,1785727399038;40,164385573551;-1;50,0405080817341;963,233463920714;18,809552683205;50,0405080817341;-1
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;8;10,1116697750986;3,89285714285714;5,1577380952381;500;5500;32,2177595023917;588,513980917171;12,2427486109088;32,2177595023917;-1;40,4826665506928;627,599388758783;9,70245727248008;40,4826665506928;-1;51,8703093947213;872,538477172277;11,0917642730851;51,8703093947213;-1
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;8;13,5353094916791;4,0952380952381;6,74404761904762;500;5500;30,1049823335468;533,404421818848;30,1049823335468;12,4572340690539;1;40,5999999999999;582,598699229121;40,5999999999999;19,5999999999999;1;50,1726365650581;845,9542320376;50,1726365650581;36,1959735219348;1
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;8;8,5839483961463;3,87202380952381;4,38392857142857;500;5500;31,2525089881993;684,006880843935;22,4737143285928;31,2525089881993;-1;40,3343794423791;921,385752729003;25,8553714374225;40,3343794423791;-1;50,4395258381598;1823,48234083863;50,4395258381598;32,497949533311;1
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;8;10,2666585631669;4,0625;5,08630952380952;500;5500;31,5673229784182;666,358078325539;31,5673229784182;21,0448819856122;1;40,062830611845;889,688852678007;30,291408511395;40,062830611845;-1;50,1694708751857;1014,39202663069;29,2655246771916;50,1694708751857;-1
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;8;14,2036227434874;4,05059523809524;7,07738095238095;500;5500;31,1733197659993;626,927137628353;22,219281109808;31,1733197659993;-1;41,7727144230398;752,464215887785;27,0294034502022;41,7727144230398;-1;50,5409078222464;927,212863669657;15,9424340110442;50,5409078222464;-1
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;8;15,3075510747731;3,94642857142857;7,69047619047619;500;5500;31,1750452600043;623,592558332493;18,4368547236585;31,1750452600043;-1;40,3694301740096;721,667320364613;21,1774059929231;40,3694301740096;-1;50,156578386637;838,025834794715;14,2336235962078;50,156578386637;-1
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;8;13,747787848115;3,91666666666667;7,01488095238095;500;5500;30,381015316565;676,597969363276;20,9291438847448;30,381015316565;-1;41,4777696295738;832,027496293305;15,2085155308437;41,4777696295738;-1;50,3202827403965;1051,55008785383;29,6211593436377;50,3202827403965;-1
