"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_30";"dec_time_30";"freq_A_30";"freq_B_30";"which_won_30";"bound_40";"dec_time_40";"freq_A_40";"freq_B_40";"which_won_40";"bound_50";"dec_time_50";"freq_A_50";"freq_B_50";"which_won_50"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;5,6381048716139;2,49404761904762;2,875;500;5500;31,4856468885854;686,147959778654;31,4856468885854;17,5656766852108;1;40,4600130135231;1240,6685522364;20,3944781043775;40,4600130135231;-1;51,6984244967284;1517,72018230493;17,1186836081882;51,6984244967284;-1
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;7,11164422449656;2,37797619047619;3,375;500;5500;31,5049350048213;824,627905821348;19,6905843780133;31,5049350048213;-1;40,5829520456915;951,083677804424;15,132626186529;40,5829520456915;-1;50,1836771083769;1260,41710208493;12,1974215193972;50,1836771083769;-1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;8,76624545315281;2,48511904761905;4,40178571428571;500;5500;31,59208346864;612,561470725901;14,9646711167242;31,59208346864;-1;41,0392887137505;672,02629169573;20,8506063626313;41,0392887137505;-1;50,4501300775957;769,758497941654;12,6983320603472;50,4501300775957;-1
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;6,77565810852684;2,52380952380952;3,49702380952381;500;5500;30,801529250132;879,175933176475;20,0729067023332;30,801529250132;-1;40,576449686828;979,169590660327;11,0367943148172;40,576449686828;-1;50,3799121018181;1405,98442088344;7,93656149549189;50,3799121018181;-1
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;8,51302445982583;2,39880952380952;4,1577380952381;500;5500;31,7240657354704;674,517299348097;12,4871322575788;31,7240657354704;-1;40,3629514885101;800,786343769451;12,9982386149439;40,3629514885101;-1;50,601275308227;964,531889505092;13,8334421705944;50,601275308227;-1
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;6,23519602697343;2,50297619047619;3,08928571428571;500;5500;30,798093017838;877,140105026835;14,91276082969;30,798093017838;-1;40,2604798819285;1044,57123877952;10,9180962391671;40,2604798819285;-1;51,5716711068384;1229,59411220572;6,96914474416735;51,5716711068384;-1
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;7,86414006841369;2,5625;4,01488095238095;500;5500;30,5782111182265;765,147362595255;21,1695307741568;30,5782111182265;-1;40,0014823756258;1074,33440566836;7,30185789396344;40,0014823756258;-1;51,3410158107264;1152,65020951991;2,38004709056348;51,3410158107264;-1
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;9,48234757524915;2,42261904761905;4,82440476190476;500;5500;31,0618217627935;688,31831662661;16,3842576331219;31,0618217627935;-1;41,4370835587137;767,037314137382;8,07671967669844;41,4370835587137;-1;50,4468080175324;815,640645130115;6,13542259672691;50,4468080175324;-1
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;9,23947980278172;2,73214285714286;4,55059523809524;500;5500;30,3062532681513;655,590556022062;26,6428600159572;30,3062532681513;-1;41,2746266790854;742,674722069412;29,7718618668812;41,2746266790854;-1;50,7844875239731;866,663334091204;16,928162507991;50,7844875239731;-1
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;7,11998557904735;2,46130952380952;3,44642857142857;500;5500;32,6463157156806;646,416448679179;14,6575295049995;32,6463157156806;-1;40,5013845414091;716,801513579646;13,162949975958;40,5013845414091;-1;50,6223740144886;1070,32542436226;16,1853848889862;50,6223740144886;-1
"11";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;6,07409504125826;2,57440476190476;3,05357142857143;500;5500;30,9243768182608;601,535137240265;30,9243768182608;14,8042229449121;1;41,4183241781218;819,289470229564;41,4183241781218;14,0401098908887;1;51,8;1029,55732329403;51,8;15,4;1
"12";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;5,32598821213469;2,44642857142857;2,56845238095238;500;5500;30,6298893989606;802,733714155429;30,6298893989606;21,6406827275265;1;41,3506980505125;1256,09291800805;41,3506980505125;3,60998157583839;1;50,3966072795248;1459,01384770859;50,3966072795248;13,841321717616;1
"13";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;5,49058282747865;2,66369047619048;2,63392857142857;500;5500;31,0570717452832;663,632010838877;9,15366325124136;31,0570717452832;-1;40,0160907843861;721,601496616229;5,51946079784636;40,0160907843861;-1;50,548241390402;916,716387961972;8,30929995458662;50,548241390402;-1
"14";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;9,09054502961226;2,66666666666667;4,54464285714286;500;5500;30,0335564899044;753,042997680962;30,0335564899044;23,0257266422601;1;41,4591602600466;884,249553663937;21,4322777615495;41,4591602600466;-1;50,0297078799046;1041,35036195009;22,235425724402;50,0297078799046;-1
"15";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;9,50444567482919;2,46428571428571;4,77083333333333;500;5500;31,9774293962924;564,585801109766;9,6901301200886;31,9774293962924;-1;41,137139596391;733,27068866791;15,8219767678427;41,137139596391;-1;50,5826032832053;989,176005214549;18,2372651293189;50,5826032832053;-1
"16";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;8,67601755657233;2,57738095238095;4,46428571428571;500;5500;30,7966839597422;814,847105640225;14,5522792337243;30,7966839597422;-1;41,4010473766516;872,200048229462;16,5604189506606;41,4010473766516;-1;51,5625987455912;1095,53231602464;10,9482230213242;51,5625987455912;-1
"17";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;8,65355298970826;2,63690476190476;4,20535714285714;500;5500;32,1126121207686;624,51971182885;12,2491407058602;32,1126121207686;-1;40,5294094105627;752,709093021005;15,3262472560951;40,5294094105627;-1;50,4124446809134;851,456368481008;9,07424004256442;50,4124446809134;-1
"18";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;9,50432534329593;2,50595238095238;4,6875;500;5500;30,5599376182902;738,686254498419;20,6101904867539;30,5599376182902;-1;41,9394137718447;810,178458783195;21,782486222586;41,9394137718447;-1;50,4521759493174;981,918703145944;15,7877557392422;50,4521759493174;-1
"19";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;7,54509081714787;2,46428571428571;3,61607142857143;500;5500;31,4299438639698;689,08329197682;17,7211385616;31,4299438639698;-1;41,206241524673;760,075126285915;10,8784477625137;41,206241524673;-1;50,0880817756202;1059,84907313915;10,9782097042455;50,0880817756202;-1
"20";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;5;5,95463767647743;2,41071428571429;3,05059523809524;500;5500;30,5300470904501;725,178860417903;20,8006914242627;30,5300470904501;-1;40,6084345573349;822,032619458267;18,6121991721118;40,6084345573349;-1;50,5851598194486;2152,37631471408;9,91195699164872;50,5851598194486;-1
