"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_30";"dec_time_30";"freq_A_30";"freq_B_30";"which_won_30";"bound_40";"dec_time_40";"freq_A_40";"freq_B_40";"which_won_40";"bound_50";"dec_time_50";"freq_A_50";"freq_B_50";"which_won_50"
"1";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;21,0812782777939;5,5;10,9880952380952;500;5500;31,4512531555694;529,209361169438;10,156133831486;31,4512531555694;-1;40,3651375753919;842,106234664933;29,6011008886207;40,3651375753919;-1;50,5768465502185;1065,91184816872;32,312985295973;50,5768465502185;-1
"2";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;11,6594637804665;5,54166666666667;5,8422619047619;500;5500;30,9777068672252;617,605986191958;15,6518939960717;30,9777068672252;-1;40,4831780202194;762,289378526377;40,4831780202194;29,6394696219464;1;50,0793300105292;856,93386744383;50,0793300105292;29,4793219210917;1
"3";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;12,7363652882632;5,56547619047619;6,47916666666667;500;5500;30,2237227222666;608,082703407229;30,2237227222666;21,7339129688209;1;42,0427507123745;674,783401021007;42,0427507123745;31,3597566789023;1;50,3478598231016;1936,60360042071;30,4260447851837;50,3478598231016;-1
"4";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;11,8552583025303;5,58333333333333;5,72619047619048;500;5500;30,1301844270206;654,347033659817;24,713522058118;30,1301844270206;-1;40,3038583694482;759,556448257004;36,8882771516984;40,3038583694482;-1;50,4220165239532;1881,71670755913;50,4220165239532;29,4985947010883;1
"5";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;15,0081627909094;5,49107142857143;7,86011904761905;500;5500;31,2018030616312;574,505755105372;19,6217524408196;31,2018030616312;-1;41,2722273038997;702,930732782477;26,5821125008167;41,2722273038997;-1;50,215020604268;837,413741999131;21,0692394143782;50,215020604268;-1
"6";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;15,8033736262005;5,7172619047619;8,05357142857143;500;5500;31,2893749775396;644,301949387548;31,2893749775396;25,4441071245926;1;40,4828016860096;766,472464152249;40,4828016860096;37,9066233968999;1;50,1760570183594;1298,97171711712;41,1164911678222;50,1760570183594;-1
"7";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;18,7848887906875;5,51785714285714;9,34523809523809;500;5500;30,8921797589669;661,219676146487;21,5913084336865;30,8921797589669;-1;40,5760807332889;756,121711223098;31,0287676195739;40,5760807332889;-1;50,1479145665418;949,163980154737;26,2844241866012;50,1479145665418;-1
"8";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;14,4558839828242;5,37797619047619;7,14285714285714;500;5500;30,5829090531836;636,780374381563;22,8567004502741;30,5829090531836;-1;40,7364451906958;722,804298106886;26,5822566074879;40,7364451906958;-1;52,0469764989667;837,427497256486;23,2476495028718;52,0469764989667;-1
"9";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;18,0628690219019;5,4077380952381;8,84821428571429;500;5500;30,1992370427136;601,416567619493;30,1992370427136;19,597377229846;1;40,9477292818723;907,120065298078;33,5981368466645;40,9477292818723;-1;50,0071563265525;1408,51575764899;37,15809532598;50,0071563265525;-1
"10";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;11,9685724677984;5,74404761904762;5,83333333333333;500;5500;30,7664560377255;658,32123613571;26,6181698303917;30,7664560377255;-1;40,1843619420296;754,442820345231;36,4698410902453;40,1843619420296;-1;50,3120633229568;1043,14593798598;50,3120633229568;36,1720716700996;1
"11";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;14,0538406614214;5,58333333333333;7,14880952380952;500;5500;31,4959274328132;634,201156033114;31,4959274328132;22,0471492029693;1;40,1233398048032;766,920508282239;40,1233398048032;36,4422994557387;1;51,1468186086029;1319,35305107096;32,6469054948529;51,1468186086029;-1
"12";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;17,9770774119534;5,51488095238095;9,16964285714286;500;5500;31,4152532984024;679,142533693786;28,8875892399102;31,4152532984024;-1;41,2480891948852;736,285390836644;19,9478464139199;41,2480891948852;-1;50,4026972679437;844,844328561227;20,2273982456879;50,4026972679437;-1
"13";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,8949075532146;5,61011904761905;6,79464285714286;500;5500;32,398669541338;589,805965658547;12,5103773476454;32,398669541338;-1;40,3630578850631;618,786502362774;10,945914002729;40,3630578850631;-1;50,4919595162315;702,315259213408;18,7541563917431;50,4919595162315;-1
"14";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;11,3171369403135;5,61607142857143;5,89285714285714;500;5500;30,953811022428;762,452269406912;30,953811022428;29,2530521750419;1;40,6124788535635;861,04437195224;40,6124788535635;36,9804685495863;1;50,3836992844988;2717,52759226058;50,3836992844988;35,836293153059;1
"15";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;17,885614186991;5,77083333333333;9,01785714285714;500;5500;30,4130824773076;645,943588041918;30,4130824773076;23,5010182779195;1;40,2013816773751;758,427102641935;40,2013816773751;34,3097998798288;1;50,4569261159042;944,764100942708;50,4569261159042;40,2954618286735;1
"16";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,7697866586968;5,5625;6,78571428571429;500;5500;30,9552856450369;644,706716856101;24,4920941367325;30,9552856450369;-1;41,613290883732;853,743221957874;31,8432138936384;41,613290883732;-1;50,0079050643003;1559,45301305875;26,2815267491213;50,0079050643003;-1
"17";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;16,9419542069081;5,53869047619048;8,59226190476191;500;5500;32,1092940722051;646,724897274179;23,8113866153431;32,1092940722051;-1;41,4703248373979;753,9725015646;31,4371817315758;41,4703248373979;-1;50,5235295619199;945,325596121035;28,8221477366657;50,5235295619199;-1
"18";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;16,5220042499714;5,57142857142857;8,08035714285714;500;5500;31,7240495508738;711,534921502172;31,0631318518973;31,7240495508738;-1;40,0949216992433;826,432109562289;40,0949216992433;38,7003157270957;1;50,9063185658874;1312,17757329091;31,9884299096455;50,9063185658874;-1
"19";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;18,7871340371203;5,37797619047619;9,35119047619048;500;5500;30,6779890544738;677,974933751038;29,6553894193247;30,6779890544738;-1;40,6066672157435;850,358109764932;39,2417372252983;40,6066672157435;-1;50,1099585723477;1823,65642127821;41,6973377901287;50,1099585723477;-1
"20";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;19,809657400474;5,31547619047619;9,90476190476191;500;5500;30,6465626203617;603,814175283387;14,818118190065;30,6465626203617;-1;40,7276738417417;692,634204469383;13,2364939985661;40,7276738417417;-1;50,3471470758438;829,737842843996;18,308053482125;50,3471470758438;-1
"21";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,7412362960167;5,35119047619048;6,82440476190476;500;5500;31,7453219398072;648,251565044308;16,5340218436496;31,7453219398072;-1;40,28881124954;853,922586159847;31,9531951289456;40,28881124954;-1;51,1974008773524;1045,25631814511;24,0098155838618;51,1974008773524;-1
"22";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;12,6874235235155;5,55059523809524;6,35119047619048;500;5500;30,2106653024308;668,981837376343;29,2036431256831;30,2106653024308;-1;41,0320627654061;793,852271226627;38,8339165458308;41,0320627654061;-1;50,6544945848662;1028,08597294759;38,4399356069552;50,6544945848662;-1
"23";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;20,9420711728744;5,44047619047619;10,4672619047619;500;5500;31,5706804128309;543,553387177737;5,64949017913816;31,5706804128309;-1;41,147002608701;733,036353394181;24,5554692987409;41,147002608701;-1;50,005779372686;865,343981521221;22,3047361230686;50,005779372686;-1
"24";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;17,3398887549993;5,53571428571429;8,60119047619048;500;5500;31,7168344214148;607,181585982287;31,7168344214148;21,8053236647227;1;40,3561559901835;805,52383417307;39,9958331688425;40,3561559901835;-1;50,0734344175591;944,819400336026;36,4820736470788;50,0734344175591;-1
"25";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;12,0142599109095;5,4077380952381;5,98214285714286;500;5500;31,1416896669504;684,470553795366;31,1416896669504;29,8165113832504;1;40,8515277875986;915,074816213665;40,8515277875986;33,4908921501935;1;51,4412686736838;1532,45153944977;30,5099938340469;51,4412686736838;-1
"26";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;14,001985193463;5,53869047619048;6,96428571428571;500;5500;30,1202447985936;690,663960437302;30,1202447985936;25,7206584796979;1;40,1425030005174;788,853831674654;40,1425030005174;28,7226530089909;1;50,8353021254875;949,88230009277;50,8353021254875;37,4395130518793;1
"27";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;20,4237200422212;5,58333333333333;10,3839285714286;500;5500;30,8172532979599;629,225002408743;21,1219376536579;30,8172532979599;-1;40,1464867954667;697,748292455495;27,5197691743118;40,1464867954667;-1;52,0399242036843;822,414281457759;26,3813504643677;52,0399242036843;-1
"28";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;16,3701369271148;5,32738095238095;8,10416666666667;500;5500;33,1008874527304;689,783721563588;21,8325002347796;33,1008874527304;-1;40,8155720779818;896,886791670226;36,556555861149;40,8155720779818;-1;50,1710041780706;1156,86820380188;45,375246425755;50,1710041780706;-1
"29";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;18,9948336181697;5,61309523809524;9,59226190476191;500;5500;30,1848348325256;596,21642969517;30,1848348325256;25,3275050893605;1;40,3713980398999;795,244504114253;34,2978248834548;40,3713980398999;-1;50,8262769598998;1087,1299971565;40,3221797215205;50,8262769598998;-1
"30";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,2340919328853;5,5;6,73214285714286;500;5500;30,1422185737965;657,581728695775;29,7957562913391;30,1422185737965;-1;40,5014409764701;832,478970678451;30,2880341215341;40,5014409764701;-1;50,3401785540582;1038,29908192884;35,2381249878408;50,3401785540582;-1
"31";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;12,4926208914258;5,26488095238095;6,22321428571429;500;5500;34,70465918843;653,021007465273;17,0186309481724;34,70465918843;-1;40,7005608306533;729,886470913731;22,6855584957739;40,7005608306533;-1;51,1967528289935;813,534547654297;24,650288399145;51,1967528289935;-1
"32";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;11,4694201739039;5,53869047619048;5,8125;500;5500;30,0276573546117;627,965354944224;30,0276573546117;25,2505300481962;1;41,7232601030207;821,468010251948;41,7232601030207;34,8268534744223;1;50,9460378486467;1245,45956498606;38,4767278856912;50,9460378486467;-1
"33";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;16,6306884658989;5,48214285714286;8,46130952380952;500;5500;32,7983421648254;631,942366069101;32,7983421648254;19,0230384555988;1;41,7345516365519;827,25190172357;41,7345516365519;33,1226600290095;1;51,1329987596265;1455,51138287107;41,1209430584409;51,1329987596265;-1
"34";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;20,9681965869386;5,43452380952381;10,0803571428571;500;5500;31,646955001478;603,912196550394;31,646955001478;25,2502300543708;1;40,1129735715434;749,011063722527;40,1129735715434;33,1969436454152;1;50,4501699243756;911,688274787217;50,4501699243756;38,0258743459846;1
"35";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;11,0163945811801;5,58630952380952;5,5952380952381;500;5500;32,8682914434023;635,500786121966;20,7942251988872;32,8682914434023;-1;40,5421491854794;713,221663699005;26,3523969705616;40,5421491854794;-1;50,2476594682469;949,850114198564;50,2476594682469;37,774836195987;1
"36";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;20,3846710382495;5,30059523809524;10,172619047619;500;5500;30,1747383200123;626,150660650029;22,4705498127751;30,1747383200123;-1;40,5904788500686;812,41448185935;35,4740319361944;40,5904788500686;-1;51,6304426607693;1050,71579517125;36,40131928601;51,6304426607693;-1
"37";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;15,0079269076232;5,39880952380952;7,6547619047619;500;5500;31,4499222317196;631,599396960999;24,4610506246708;31,4499222317196;-1;41,0552691549851;800,448173136846;26,0611708549036;41,0552691549851;-1;50,1563249113617;912,509777000468;35,0356681366129;50,1563249113617;-1
"38";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;11,9803009952884;5,70833333333333;5,95833333333333;500;5500;30,1473185233771;615,169498067993;17,5583283707581;30,1473185233771;-1;40,987602994221;701,993837139636;26,7741600204185;40,987602994221;-1;50,0356196060879;1516,25208482146;40,7186421621957;50,0356196060879;-1
"39";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;11,8039054193068;5,61607142857143;5,76488095238095;500;5500;30,4925298166806;645,159339637493;30,4925298166806;23,0388003059365;1;40,0344745570998;779,298892395777;40,0344745570998;32,9913725516841;1;50,7466650760911;1062,81822179765;40,3829095323823;50,7466650760911;-1
"40";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;18,9116589678451;5,54166666666667;9,33630952380952;500;5500;30,3186518039769;684,127059714089;24,5917953521146;30,3186518039769;-1;41,2181432074206;752,945683651805;24,0168708452687;41,2181432074206;-1;50,9378980486529;960,605231894716;42,1948259955259;50,9378980486529;-1
"41";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;13,4641277513001;5,72321428571429;6,52678571428571;500;5500;30,5433927552144;566,61104381473;30,5433927552144;12,6978149656509;1;41,2325179532845;731,927733790314;41,2325179532845;34,2439555883211;1;50,8895177071048;1518,17220810514;33,5654265727713;50,8895177071048;-1
"42";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;14,1972860537935;5,62202380952381;6,88392857142857;500;5500;30,5581538539525;616,420140886295;22,2241118937836;30,5581538539525;-1;40,6442178245751;752,27810883377;40,6442178245751;33,9290861839931;1;50,1807879110788;1072,19156386255;37,3608785907302;50,1807879110788;-1
"43";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;18,8389908650424;5,39880952380952;9,40178571428571;500;5500;30,061670867184;649,755057042003;30,061670867184;21,8029700794961;1;41,867053233242;809,003440469983;31,6733359242787;41,867053233242;-1;50,9097579464646;940,595867099634;32,6252674163964;50,9097579464646;-1
"44";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;18,2240618905053;5,50595238095238;9,12202380952381;500;5500;31,3879757353017;595,148184223806;15,345232581703;31,3879757353017;-1;40,6170228437783;700,764040842293;21,7090984165022;40,6170228437783;-1;50,5274274731609;1121,04330680911;34,5892456527679;50,5274274731609;-1
"45";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;12,0277614777442;5,44940476190476;5,91964285714286;500;5500;30,9397904867613;723,095370728273;28,4786707889508;30,9397904867613;-1;40,5177963321615;790,138242198734;21,2890116321527;40,5177963321615;-1;51,1845186175147;1004,11934204896;20,8040301477641;51,1845186175147;-1
"46";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;19,7367001324892;5,30059523809524;9,74702380952381;500;5500;30,3005371307546;663,467921099011;30,3005371307546;26,9338107828929;1;40,8498377938167;740,493820568195;40,8498377938167;31,4229521490898;1;50,0692790289089;1113,58029762403;20,1621257834532;50,0692790289089;-1
"47";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;18,8325343998149;5,4375;9,47916666666667;500;5500;31,7260497935512;674,991503841288;24,8575235495865;31,7260497935512;-1;40,1454465558434;724,175609697245;31,0368158246857;40,1454465558434;-1;50,3132630158695;897,383142413955;39,9749213002799;50,3132630158695;-1
"48";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;16,9061482094694;5,53571428571429;8,48214285714286;500;5500;30,2916372913617;648,342030178425;26,1609594789033;30,2916372913617;-1;40,1803913763151;735,325982934283;28,2624786799505;40,1803913763151;-1;50,05;1051,08124270032;40,6;50,05;-1
"49";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;11;21,8481979272328;5,58333333333333;11,0446428571429;500;5500;30,5212465160687;617,830050897066;30,5212465160687;29,5150515759785;1;41,5901174069003;904,003740281407;41,5901174069003;37,6462269631425;1;50,0310501613983;1133,5437998059;28,589171520799;50,0310501613983;-1
