"";"N_size";"n_groups";"n_size";"n_density";"n_to_N_density";"N_density";"inhibition_level";"r_default";"r_active";"number_of_iterations";"threshold_level";"time_bins";"to_A";"to_B";"n_A";"n_B";"over_time_A";"over_time_B";"event_starts";"event_ends";"bound_30";"dec_time_30";"freq_A_30";"freq_B_30";"which_won_30";"bound_40";"dec_time_40";"freq_A_40";"freq_B_40";"which_won_40";"bound_50";"dec_time_50";"freq_A_50";"freq_B_50";"which_won_50"
"2985";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;5,98412476107478;1,94047619047619;3,0922619047619;500;5500;31,8590424005233;821,539997920637;31,8590424005233;23,4066433963028;1;40,0654321461392;1274,3153575126;15,6352905936153;40,0654321461392;-1;50,13645075887;1332,80834875641;11,5178332824431;50,13645075887;-1
"2986";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;5,35069828946143;1,95535714285714;2,70238095238095;500;5500;30,0771783260556;807,439535771226;30,0771783260556;16,4939365013853;1;40,5879281153723;1579,05067907692;8,25517182007573;40,5879281153723;-1;50,0153687352924;1843,45867132281;5,94588299650329;50,0153687352924;-1
"2987";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,40802631899714;1,98511904761905;2,20833333333333;500;5500;31,6248475911375;921,005239741397;23,8001430325056;31,6248475911375;-1;40,3604017136899;1113,59792384949;12,6345605364594;40,3604017136899;-1;50,3265167025532;1271,77010349157;10,4574580161149;50,3265167025532;-1
"2988";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,38794408552349;1,88690476190476;2,13392857142857;500;5500;31,9781716589798;712,596541549132;10,434982330825;31,9781716589798;-1;40,2960097674948;780,121104659535;9,64348951700731;40,2960097674948;-1;50,8696582167337;857,504377212516;5,8039207361374;50,8696582167337;-1
"2989";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;6,12883397657424;2,01785714285714;3,16071428571429;500;5500;30,3302609433279;696,588099794418;20,6503904294998;30,3302609433279;-1;40,9932172866567;816,647578535718;8,59535201171834;40,9932172866567;-1;50,4187203685592;1000,80594880785;11,5049429028927;50,4187203685592;-1
"2990";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,57284714560956;2,01785714285714;2,33928571428571;500;5500;30,9739160357033;1182,42297244914;30,9739160357033;8,60386556547313;1;40,6364150020706;1359,94620470518;40,6364150020706;9,1431933754659;1;51,4945123718427;1607,31841515772;51,4945123718427;7,16148847555428;1
"2991";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;6,40409021638334;2,07738095238095;3,25595238095238;500;5500;30,5255494278101;700,182452576115;9,9539835090685;30,5255494278101;-1;41,1902966565136;890,103543393032;20,4303871416307;41,1902966565136;-1;50,3546654251403;1045,25904371284;12,5886663562851;50,3546654251403;-1
"2992";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;5,02359955571592;2,02380952380952;2,69940476190476;500;5500;31,0713073657978;635,63267383638;14,1847272756903;31,0713073657978;-1;40,7412521339844;724,071339237378;11,2038443368457;40,7412521339844;-1;50,6917115050763;849,918388122095;6,64236219721689;50,6917115050763;-1
"2993";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;7,11328954063356;1,92261904761905;3,43452380952381;500;5500;30,0434234441922;607,450562409175;16,6545064744979;30,0434234441922;-1;41,2387927815935;714,622254467943;13,8589385577486;41,2387927815935;-1;50,9334402327423;857,446914176583;8,96715497055322;50,9334402327423;-1
"2994";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;5,99978208076209;2,13392857142857;3,13392857142857;500;5500;32,4099882467624;766,779570656936;15,8673900791441;32,4099882467624;-1;42,5151514396042;816,320083886439;4,98224430932861;42,5151514396042;-1;50,2509440409145;904,304662985583;2,02352794795629;50,2509440409145;-1
"2995";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;5,25065373815596;1,98511904761905;2,65178571428571;500;5500;30,1400516367497;925,239076745399;17,020264453694;30,1400516367497;-1;40,3113199524417;1098,2167070978;17,5266608488877;40,3113199524417;-1;50,3976723933711;1307,55231572963;18,810398851047;50,3976723933711;-1
"2996";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;7,25513669010252;1,92857142857143;3,71130952380952;500;5500;33,6270883606518;681,322104700997;7,28009129457411;33,6270883606518;-1;40,8871951512322;819,27456359081;8,10985688950059;40,8871951512322;-1;50,1266522959696;904,857176156014;5,22152628083017;50,1266522959696;-1
"2997";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,16407830826938;2,04464285714286;2;500;5500;30,2104044180375;1052,26074637508;30,2104044180375;8,39177900501042;1;40,8510318840053;1211,99811279768;40,8510318840053;4,64971094614695;1;51,1322781920286;1291,54417900253;51,1322781920286;2,33938527675948;1
"2998";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;7,24300763290375;1,99404761904762;3,83333333333333;500;5500;32,9232737387076;623,470715844456;10,3093079383832;32,9232737387076;-1;40,7528847119169;680,727585712933;11,7423566119082;40,7528847119169;-1;50,5409180056256;738,959709730434;9,90998392267169;50,5409180056256;-1
"2999";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;6,92310832906514;1,9702380952381;3,56547619047619;500;5500;30,6041198821024;856,661212879643;30,6041198821024;27,5773387948615;1;40,6166313667857;1274,97530678745;34,2388132182822;40,6166313667857;-1;50,5084275073791;1511,76418740403;9,82108312643482;50,5084275073791;-1
"3000";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;5,07819427456707;1,90178571428571;2,54761904761905;500;5500;30,5505979345568;718,846073775116;30,5505979345568;11,9682754795171;1;41,3309961720709;872,012609414575;41,3309961720709;8,4006089780632;1;50,391169363656;1242,45605670322;50,391169363656;12,1069692626966;1
"3001";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;7,19688611198217;2,05654761904762;3,63095238095238;500;5500;31,0339249574226;673,617427728687;16,3887019438074;31,0339249574226;-1;40,1276447170105;751,534516126585;9,94313320421498;40,1276447170105;-1;51,1157115835627;861,196178325915;5,0113442728983;51,1157115835627;-1
"3002";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,07147574238479;1,9672619047619;2;500;5500;31,734344575859;865,011914260929;31,734344575859;9,45278349068142;1;40,150004607908;912,291475663367;40,150004607908;10,729742610734;1;50,317815567877;1095,72135864028;50,317815567877;7,389329558919;1
"3003";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;7,7479034755379;2,01785714285714;3,87797619047619;500;5500;30,3637496943984;729,309144557197;14,8518340896514;30,3637496943984;-1;40,0410532589002;800,481225015651;14,4686158834681;40,0410532589002;-1;52,3869399755282;878,420558972588;11,5659477868049;52,3869399755282;-1
"3004";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;6,34382385201752;2;3,17261904761905;500;5500;31,7498475843591;763,398534703334;15,5057395179428;31,7498475843591;-1;42,3492920987547;809,877870965771;12,7778036504863;42,3492920987547;-1;50,2140780297984;946,143236293281;12,6438325974313;50,2140780297984;-1
"3005";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;6,29003179073334;2,01190476190476;3,07738095238095;500;5500;30,8036195709523;827,807531868474;7,28687774796721;30,8036195709523;-1;40,2601534914004;934,272652237743;4,85898404206556;40,2601534914004;-1;50,4671052870003;1001,84067434732;5,83633190393881;50,4671052870003;-1
"3006";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;4,32822358235717;2,00297619047619;2,20833333333333;500;5500;31,1136316918331;860,157369432467;16,9095824412136;31,1136316918331;-1;40,543762859916;1093,20122471749;19,7692727994632;40,543762859916;-1;50,0395517960664;3274,87001136847;50,0395517960664;12,7551798695856;1
"3007";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;6,46423423103988;2,01785714285714;3,26190476190476;500;5500;30,1743117703713;739,638907787974;30,1743117703713;27,8532108649581;1;41,153508193893;942,931842563075;19,8908622937149;41,153508193893;-1;50,6151221753644;1048,91828249091;9,77395462696693;50,6151221753644;-1
"3008";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;5,72059686016291;1,93452380952381;2,79166666666667;500;5500;31,2419875701499;644,446278597274;14,4452200593166;31,2419875701499;-1;41,9065068428214;782,941797516654;17,8185147205697;41,9065068428214;-1;52,5580828592592;1068,62236960631;8,03435661542816;52,5580828592592;-1
"3009";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;7,2231664462015;2,03869047619048;3,63095238095238;500;5500;30,9426825353145;763,603465592517;23,5433454073045;30,9426825353145;-1;40,1268874971366;977,628760942851;9,53835850341771;40,1268874971366;-1;51,0914790625855;1308,52444887833;5,86861583826995;51,0914790625855;-1
"3010";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;6,33014044258744;2,13690476190476;3,19642857142857;500;5500;31,1202862283088;659,975178010657;10,925206867385;31,1202862283088;-1;40,9866914065677;758,398987763894;6,61075667847866;40,9866914065677;-1;50,3614080551206;829,464818868655;5,37188352587953;50,3614080551206;-1
"3011";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;7,52286851685494;1,99702380952381;3,70833333333333;500;5500;31,5536073858746;892,08677603388;20,2354656061587;31,5536073858746;-1;40,1734945987229;1039,58583845021;19,9179511035685;40,1734945987229;-1;51,0005296398254;1173,6431537049;7,14007414957555;51,0005296398254;-1
"3012";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;5,805235914886;2,20535714285714;2,66666666666667;500;5500;30,0694397635395;670,529998324228;10,4589355699268;30,0694397635395;-1;40,6365843091533;806,307927436709;3,7881561644126;40,6365843091533;-1;50,1236670013316;1001,73288842134;3,98333777494026;50,1236670013316;-1
"3013";800;2;100;0,55;0,36;0,36;0,13;0,006;0,07;1e+05;50;30;50;50;4;7,67384639475495;2,07440476190476;3,71130952380952;500;5500;30,6025745023251;663,760307807963;8,55555846301563;30,6025745023251;-1;40,130652862315;770,078025954073;10,0326632155787;40,130652862315;-1;50,5148081170095;1093,78344605075;5,22566980520788;50,5148081170095;-1
